assessment_name,url,description,test_type,category
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,,K,General
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,,K,General
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,,K,General
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,,K,General
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,,K,General
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,,K,General
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,,K,General
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,,K,General
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,,K,General
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,,K,General
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,,K,General
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,,K,General
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,,K,General
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,,K,General
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,,K,General
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,,K,General
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,,K,General
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,,K,General
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,,K,General
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,,K,General
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,,K,General
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,,K,General
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,,K,General
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,,K,General
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,,K,General
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,,K,General
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,,K,General
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,,K,General
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,,K,General
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,,K,General
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,,K,General
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,,K,General
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,,K,General
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,,K,General
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,,K,General
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,,K,General
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,,K,General
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,,K,General
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,,K,General
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,,K,General
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,,K,General
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,,K,General
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,,K,General
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,,K,General
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,,K,General
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,,K,General
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,,K,General
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,,K,General
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,,K,General
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,,K,General
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,,K,General
